45,shakir45,DutyOn,2025-10-07 01:05:09
93,furqan93,DutyOn,2025-10-07 05:16:42
69,irfana,DutyOn,2025-10-07 05:30:32
97,aasif97,DutyOn,2025-10-07 06:03:01
89,mantasha,DutyOn,2025-10-07 06:05:40
28,saima,DutyOff,2025-10-07 20:51:26
72,qurat72,DutyOff,2025-10-07 20:51:30
77,azhar77,DutyOff,2025-10-07 20:52:21
93,furqan93,DutyOff,2025-10-07 21:04:09
45,shakir45,DutyOff,2025-10-07 21:16:49
89,mantasha,DutyOff,2025-10-07 21:27:24
69,irfana,DutyOff,2025-10-07 21:30:46
41,naveed,DutyOff,2025-10-07 22:22:48
41,naveed,DutyOn,2025-10-08 05:34:21
69,irfana,DutyOn,2025-10-08 05:34:46
28,saima,DutyOn,2025-10-08 05:34:51
72,qurat72,DutyOn,2025-10-08 05:35:11
93,furqan93,DutyOn,2025-10-08 05:35:24
89,mantasha,DutyOn,2025-10-08 05:57:03
45,shakir45,DutyOn,2025-10-08 06:00:16
89,mantasha,DutyOn,2025-10-08 06:00:24
77,azhar77,DutyOff,2025-10-08 20:45:18
28,saima,DutyOff,2025-10-08 20:47:24
93,furqan93,DutyOff,2025-10-08 20:58:05
72,qurat72,DutyOff,2025-10-08 21:07:30
41,naveed,DutyOff,2025-10-08 21:15:11
97,aasif97,DutyOff,2025-10-08 21:46:36
89,mantasha,DutyOff,2025-10-08 21:52:33
69,irfana,DutyOff,2025-10-08 21:57:29
41,naveed,DutyOn,2025-10-09 05:51:12
93,furqan93,DutyOn,2025-10-09 05:52:43
28,saima,DutyOn,2025-10-09 05:53:56
69,irfana,DutyOn,2025-10-09 06:00:12
97,aasif97,DutyOn,2025-10-09 06:00:37
89,mantasha,DutyOn,2025-10-09 06:01:09
28,saima,DutyOff,2025-10-09 20:44:58
72,qurat72,DutyOff,2025-10-09 20:50:50
93,furqan93,DutyOff,2025-10-09 20:52:07
69,irfana,DutyOff,2025-10-09 20:57:41
41,naveed,DutyOff,2025-10-09 21:13:57
97,aasif97,DutyOff,2025-10-09 21:26:15
712,zarka712,DutyOff,2025-10-09 21:28:04
45,shakir45,DutyOff,2025-10-09 21:28:44
89,mantasha,DutyOff,2025-10-09 21:36:03
69,irfana,DutyOn,2025-10-10 05:30:23
712,zarka712,DutyOn,2025-10-10 05:35:44
28,saima,DutyOn,2025-10-10 05:38:06
72,qurat72,DutyOn,2025-10-10 05:42:41
93,furqan93,DutyOn,2025-10-10 05:43:00
89,mantasha,DutyOn,2025-10-10 06:01:24
41,naveed,DutyOn,2025-10-10 06:01:35
45,shakir45,DutyOn,2025-10-10 06:01:42
97,aasif97,DutyOn,2025-10-10 06:01:48
28,saima,DutyOff,2025-10-10 20:55:11
72,qurat72,DutyOff,2025-10-10 20:55:49
712,zarka712,DutyOff,2025-10-10 20:58:41
41,naveed,DutyOff,2025-10-10 20:59:45
93,furqan93,DutyOff,2025-10-10 21:03:00
45,shakir45,DutyOff,2025-10-10 21:03:10
97,aasif97,DutyOff,2025-10-10 21:24:55
89,mantasha,DutyOff,2025-10-10 21:29:04
69,irfana,DutyOff,2025-10-10 21:32:36
41,naveed,DutyOn,2025-10-11 04:35:10
93,furqan93,DutyOn,2025-10-11 05:30:11
72,qurat72,DutyOn,2025-10-11 05:31:21
45,shakir45,DutyOn,2025-10-11 05:31:34
69,irfana,DutyOn,2025-10-11 05:31:56
712,zarka712,DutyOn,2025-10-11 05:57:12
89,mantasha,DutyOn,2025-10-11 06:02:36
97,aasif97,DutyOn,2025-10-11 06:03:19
41,naveed,DutyOff,2025-10-12 20:51:06
97,aasif97,DutyOff,2025-10-12 20:51:15
712,zarka712,DutyOff,2025-10-12 20:51:26
72,qurat72,DutyOff,2025-10-12 20:52:25
93,furqan93,DutyOff,2025-10-12 20:55:46
45,shakir45,DutyOff,2025-10-12 20:58:46
69,irfana,DutyOff,2025-10-12 21:29:14
